2025-08-06 21:50:31 | trading_bot | INFO | 📊 AIMD Position Status:
2025-08-06 21:50:31 | trading_bot | INFO |    📈 Entry Price: $3.79
2025-08-06 21:50:31 | trading_bot | INFO |    📊 Current Price: $3.25
2025-08-06 21:50:31 | trading_bot | INFO |    📦 Quantity: 500
2025-08-06 21:50:31 | trading_bot | INFO |    💰 P&L: $-270.00 (-14.25%)
2025-08-06 21:50:31 | config.strategy_manager | INFO | ✅ Loaded strategy config from config/strategy_settings.json
2025-08-06 21:50:31 | bot.position_manager | INFO | 📊 Updated prices for 1 positions
2025-08-06 21:50:31 | trading_bot | INFO | 📊 EHTH Position Status:
2025-08-06 21:50:31 | trading_bot | INFO |    📈 Entry Price: $4.32
2025-08-06 21:50:31 | trading_bot | INFO |    📊 Current Price: $4.75
2025-08-06 21:50:31 | trading_bot | INFO |    📦 Quantity: 500
2025-08-06 21:50:31 | trading_bot | INFO |    💰 P&L: $215.00 (+9.95%)
2025-08-06 21:50:31 | config.strategy_manager | INFO | ✅ Loaded strategy config from config/strategy_settings.json
2025-08-06 21:50:31 | bot.position_manager | INFO | 📊 Updated prices for 1 positions
2025-08-06 21:50:32 | trading_bot | INFO | 🔍 Checking 4 active positions for exit conditions...
2025-08-06 21:50:32 | bot.data_manager | INFO | 📊 Average volume for RNG: 1,711,849 (based on 20 trading days)
2025-08-06 21:50:33 | bot.data_manager | INFO | 📈 RNG - Real premarket high: $30.22 at 09:30
2025-08-06 21:50:33 | trading_bot | INFO | 📊 RNG - Current Price: $29.52
2025-08-06 21:50:33 | bot.data_manager | INFO | 📊 Average volume for RMSG: 2,347,950 (based on 20 trading days)
2025-08-06 21:50:33 | bot.data_manager | INFO | 📈 RMSG - Real premarket high: $1.78 at 09:26
2025-08-06 21:50:33 | trading_bot | INFO | 📊 RMSG - Current Price: $2.24
2025-08-06 21:50:33 | bot.data_manager | INFO | 📊 Average volume for AIMD: 7,028,650 (based on 20 trading days)
2025-08-06 21:50:33 | bot.data_manager | INFO | 📈 AIMD - Real premarket high: $3.31 at 09:09
2025-08-06 21:50:33 | trading_bot | INFO | 📊 AIMD - Current Price: $3.25
2025-08-06 21:50:34 | bot.data_manager | INFO | 📊 Average volume for EHTH: 645,893 (based on 20 trading days)
2025-08-06 21:50:34 | bot.data_manager | INFO | 📈 EHTH - Real premarket high: $4.30 at 09:30
2025-08-06 21:50:34 | trading_bot | INFO | 📊 EHTH - Current Price: $4.75
2025-08-06 21:50:34 | trading_bot | INFO | 📊 RNG Position Status:
2025-08-06 21:50:34 | trading_bot | INFO |    📈 Entry Price: $30.40
2025-08-06 21:50:34 | trading_bot | INFO |    📊 Current Price: $29.52
2025-08-06 21:50:34 | trading_bot | INFO |    📦 Quantity: 100
2025-08-06 21:50:34 | trading_bot | INFO |    💰 P&L: $-88.00 (-2.89%)
2025-08-06 21:50:34 | config.strategy_manager | INFO | ✅ Loaded strategy config from config/strategy_settings.json
2025-08-06 21:50:34 | bot.position_manager | INFO | 📊 Updated prices for 1 positions
2025-08-06 21:50:34 | trading_bot | INFO | 📊 RMSG Position Status:
2025-08-06 21:50:34 | trading_bot | INFO |    📈 Entry Price: $3.59
2025-08-06 21:50:34 | trading_bot | INFO |    📊 Current Price: $2.24
2025-08-06 21:50:34 | trading_bot | INFO |    📦 Quantity: 500
2025-08-06 21:50:34 | trading_bot | INFO |    💰 P&L: $-675.00 (-37.60%)
2025-08-06 21:50:34 | config.strategy_manager | INFO | ✅ Loaded strategy config from config/strategy_settings.json
2025-08-06 21:50:34 | bot.position_manager | WARNING | 🚨 STOP LOSS TRIGGERED: RMSG - Current: $2.24 <= Stop: $3.05
2025-08-06 21:50:34 | trading_bot | INFO | 🚨 Exit signal triggered for RMSG: stop_loss
2025-08-06 21:50:34 | trading_bot | INFO | 🚨 EXECUTING EXIT FOR RMSG
2025-08-06 21:50:34 | trading_bot | INFO |    📊 Entry Price: $3.59
2025-08-06 21:50:34 | trading_bot | INFO |    📊 Exit Price: $2.24
2025-08-06 21:50:34 | trading_bot | INFO |    📦 Quantity: 500 shares
2025-08-06 21:50:34 | trading_bot | INFO |    📅 Exit Reason: stop_loss
2025-08-06 21:50:34 | trading_bot | INFO |    💰 P&L: $-675.00 (-37.60%)
2025-08-06 21:50:34 | bot.order_manager | INFO | 🚀 PLACING SELL ORDER for RMSG:
2025-08-06 21:50:34 | bot.order_manager | INFO |    📊 Quantity: 500 shares
