2025-07-30 18:38:21,621 | startup | INFO | logging_config.py:115 | setup_logging() | 🚀 Gap-Trade-Bot Logging System Initialized
2025-07-30 18:38:21,622 | startup | INFO | logging_config.py:116 | setup_logging() | 📁 Log directory: /Users/avinashchennamadhav/Documents/Projects/trade-advisor-website/gap-trade-bot/backend/logs
2025-07-30 18:38:21,623 | startup | INFO | logging_config.py:117 | setup_logging() | 🔧 Log level: INFO
2025-07-30 18:38:21,623 | startup | INFO | logging_config.py:118 | setup_logging() | 📊 Log files: all.log, errors.log, api.log, performance.log, cache.log
2025-07-30 18:38:21,626 | startup | INFO | logging_config.py:115 | setup_logging() | 🚀 Gap-Trade-Bot Logging System Initialized
2025-07-30 18:38:21,631 | startup | INFO | logging_config.py:116 | setup_logging() | 📁 Log directory: /Users/avinashchennamadhav/Documents/Projects/trade-advisor-website/gap-trade-bot/backend/logs
2025-07-30 18:38:21,632 | startup | INFO | logging_config.py:117 | setup_logging() | 🔧 Log level: INFO
2025-07-30 18:38:21,633 | startup | INFO | logging_config.py:118 | setup_logging() | 📊 Log files: all.log, errors.log, api.log, performance.log, cache.log
2025-07-30 18:38:22,180 | historical_cache | INFO | historical_cache.py:80 | init_cache_tables() | ✅ Historical data cache tables initialized
2025-07-30 18:38:22,183 | historical_data | INFO | historical_data.py:474 | get_historical_gap_up_data() | 📊 Fetching historical gap-up data for WINT from 2025-06-30 to 2025-07-30 (30 days)
2025-07-30 18:38:22,185 | historical_data | INFO | historical_data.py:481 | get_historical_gap_up_data() | Cache status for WINT: {'ticker': 'WINT', 'cached': True, 'total_records': 9, 'last_updated': '2025-07-30 23:33:03', 'data_range': {'start': '2024-07-30', 'end': '2025-07-30'}}
2025-07-30 18:38:22,186 | historical_cache | INFO | historical_cache.py:99 | get_cached_data() | 📊 Retrieved 4 cached records for WINT
2025-07-30 18:38:22,187 | historical_data | INFO | historical_data.py:485 | get_historical_gap_up_data() | DEBUG: Retrieved 4 cached records for WINT
2025-07-30 18:38:22,187 | historical_data | INFO | historical_data.py:488 | get_historical_gap_up_data() | ✅ Found 4 cached gap-up records for WINT
2025-07-30 18:38:22,187 | historical_data | INFO | historical_data.py:498 | get_historical_gap_up_data() | 📊 Requested range: 2025-06-30 to 2025-07-30
2025-07-30 18:38:22,188 | historical_data | INFO | historical_data.py:499 | get_historical_gap_up_data() | 📊 Found 4 gap-up days in requested range
2025-07-30 18:38:22,205 | historical_data | INFO | historical_data.py:569 | get_historical_gap_up_data() | ✅ Returning 4 gap-up days from cache for requested range
2025-07-30 18:59:01,765 | startup | INFO | logging_config.py:115 | setup_logging() | 🚀 Gap-Trade-Bot Logging System Initialized
2025-07-30 18:59:01,767 | startup | INFO | logging_config.py:116 | setup_logging() | 📁 Log directory: /Users/avinashchennamadhav/Documents/Projects/trade-advisor-website/gap-trade-bot/backend/logs
2025-07-30 18:59:01,767 | startup | INFO | logging_config.py:117 | setup_logging() | 🔧 Log level: INFO
2025-07-30 18:59:01,767 | startup | INFO | logging_config.py:118 | setup_logging() | 📊 Log files: all.log, errors.log, api.log, performance.log, cache.log
2025-07-30 18:59:30,118 | startup | INFO | logging_config.py:115 | setup_logging() | 🚀 Gap-Trade-Bot Logging System Initialized
2025-07-30 18:59:30,119 | startup | INFO | logging_config.py:116 | setup_logging() | 📁 Log directory: /Users/avinashchennamadhav/Documents/Projects/trade-advisor-website/gap-trade-bot/backend/logs
2025-07-30 18:59:30,120 | startup | INFO | logging_config.py:117 | setup_logging() | 🔧 Log level: INFO
2025-07-30 18:59:30,120 | startup | INFO | logging_config.py:118 | setup_logging() | 📊 Log files: all.log, errors.log, api.log, performance.log, cache.log
2025-07-30 19:00:13,290 | startup | INFO | logging_config.py:115 | setup_logging() | 🚀 Gap-Trade-Bot Logging System Initialized
2025-07-30 19:00:13,290 | startup | INFO | logging_config.py:116 | setup_logging() | 📁 Log directory: /Users/avinashchennamadhav/Documents/Projects/trade-advisor-website/gap-trade-bot/backend/logs
2025-07-30 19:00:13,290 | startup | INFO | logging_config.py:117 | setup_logging() | 🔧 Log level: INFO
2025-07-30 19:00:13,290 | startup | INFO | logging_config.py:118 | setup_logging() | 📊 Log files: all.log, errors.log, api.log, performance.log, cache.log
2025-07-30 19:07:40,463 | startup | INFO | logging_config.py:115 | setup_logging() | 🚀 Gap-Trade-Bot Logging System Initialized
2025-07-30 19:07:40,463 | startup | INFO | logging_config.py:116 | setup_logging() | 📁 Log directory: /Users/avinashchennamadhav/Documents/Projects/trade-advisor-website/gap-trade-bot/backend/logs
2025-07-30 19:07:40,464 | startup | INFO | logging_config.py:117 | setup_logging() | 🔧 Log level: INFO
2025-07-30 19:07:40,466 | startup | INFO | logging_config.py:118 | setup_logging() | 📊 Log files: all.log, errors.log, api.log, performance.log, cache.log
2025-07-30 19:07:40,477 | historical_data | INFO | historical_data.py:474 | get_historical_gap_up_data() | 📊 Fetching historical gap-up data for SONN from 2024-07-30 to 2025-07-30 (365 days)
2025-07-30 19:07:40,486 | historical_data | INFO | historical_data.py:481 | get_historical_gap_up_data() | Cache status for SONN: {'ticker': 'SONN', 'cached': True, 'total_records': 3, 'last_updated': '2025-07-31 00:02:54', 'data_range': {'start': '2025-01-31', 'end': '2025-07-30'}}
2025-07-30 19:07:40,542 | historical_cache | INFO | historical_cache.py:99 | get_cached_data() | 📊 Retrieved 3 cached records for SONN
2025-07-30 19:07:40,542 | historical_data | INFO | historical_data.py:485 | get_historical_gap_up_data() | DEBUG: Retrieved 3 cached records for SONN
2025-07-30 19:07:40,543 | historical_data | INFO | historical_data.py:488 | get_historical_gap_up_data() | ✅ Found 3 cached gap-up records for SONN
2025-07-30 19:07:40,543 | historical_data | INFO | historical_data.py:498 | get_historical_gap_up_data() | 📊 Requested range: 2024-07-30 to 2025-07-30
2025-07-30 19:07:40,543 | historical_data | INFO | historical_data.py:499 | get_historical_gap_up_data() | 📊 Found 3 gap-up days in requested range
2025-07-30 19:07:40,579 | historical_data | INFO | historical_data.py:519 | get_historical_gap_up_data() | 🔄 Requested range extends beyond cache (before: True, after: False)
2025-07-30 19:07:40,586 | historical_cache | INFO | historical_cache.py:132 | get_cache_gaps() | 🔍 Found 185 missing dates for SONN
2025-07-30 19:07:40,589 | historical_data | INFO | historical_data.py:527 | get_historical_gap_up_data() | DEBUG: Found 185 missing dates before cache
2025-07-30 19:07:40,590 | historical_data | INFO | historical_data.py:535 | get_historical_gap_up_data() | DEBUG: Found 185 total missing dates for requested range
2025-07-30 19:07:40,591 | historical_data | INFO | historical_data.py:769 | get_batch_delta_data() | 🔄 Fetching batch delta data for SONN: 185 missing dates
2025-07-30 19:07:41,094 | performance | INFO | logging_config.py:153 | log_performance() | ⏱️ batch_daily_data | Duration: 0.488s | Details: {'ticker': 'SONN', 'start_date': '2024-07-30', 'end_date': '2025-01-30', 'data_points': 127}
2025-07-30 19:07:41,095 | historical_data | INFO | historical_data.py:365 | get_batch_daily_data() | 📊 Retrieved 127 days of batch data for SONN
2025-07-30 19:07:44,294 | historical_data | INFO | historical_data.py:882 | get_batch_delta_data() | ✅ Batch delta processing completed for SONN: 1 gap-up days found
2025-07-30 19:07:44,303 | historical_cache | INFO | historical_cache.py:178 | store_historical_data() | 💾 Stored 1 records for SONN in cache (query range: 2024-07-30 to 2025-07-30)
2025-07-30 19:07:44,304 | historical_data | INFO | historical_data.py:544 | get_historical_gap_up_data() | 💾 Cached 1 new gap-up days from delta for SONN
