2025-07-30 19:08:05,542 | historical_data | ERROR | historical_data.py:680 | get_historical_gap_up_data() | ❌ No historical data found for TEST
2025-07-30 21:40:54,777 | historical_data | ERROR | historical_data.py:716 | get_historical_gap_up_data() | ❌ No historical data found for EXPR
2025-07-30 21:40:55,478 | historical_data | ERROR | historical_data.py:716 | get_historical_gap_up_data() | ❌ No historical data found for GNUS
2025-07-30 21:40:56,786 | historical_data | ERROR | historical_data.py:716 | get_historical_gap_up_data() | ❌ No historical data found for HEXO
2025-07-30 21:40:58,631 | historical_data | ERROR | historical_data.py:716 | get_historical_gap_up_data() | ❌ No historical data found for CIDM
2025-07-30 21:40:59,477 | historical_data | ERROR | historical_data.py:716 | get_historical_gap_up_data() | ❌ No historical data found for NAKD
2025-07-30 21:41:04,274 | historical_data | ERROR | historical_data.py:716 | get_historical_gap_up_data() | ❌ No historical data found for APHA
2025-07-30 21:41:04,504 | historical_data | ERROR | historical_data.py:716 | get_historical_gap_up_data() | ❌ No historical data found for SOLO
2025-07-30 21:41:06,642 | historical_data | ERROR | historical_data.py:716 | get_historical_gap_up_data() | ❌ No historical data found for BBBY
2025-07-30 21:41:06,894 | historical_data | ERROR | historical_data.py:716 | get_historical_gap_up_data() | ❌ No historical data found for VLDR
2025-07-30 21:41:07,327 | historical_data | ERROR | historical_data.py:716 | get_historical_gap_up_data() | ❌ No historical data found for RIDE
2025-07-30 21:46:14,692 | historical_data | ERROR | historical_data.py:716 | get_historical_gap_up_data() | ❌ No historical data found for EXPR
2025-07-30 21:46:14,733 | historical_data | ERROR | historical_data.py:716 | get_historical_gap_up_data() | ❌ No historical data found for APHA
2025-07-30 21:46:14,761 | historical_data | ERROR | historical_data.py:716 | get_historical_gap_up_data() | ❌ No historical data found for TWTR
2025-07-30 21:46:17,736 | historical_data | ERROR | historical_data.py:716 | get_historical_gap_up_data() | ❌ No historical data found for WISH
2025-07-30 21:46:19,555 | historical_data | ERROR | historical_data.py:716 | get_historical_gap_up_data() | ❌ No historical data found for HEXO
2025-07-30 21:46:34,357 | historical_data | ERROR | historical_data.py:716 | get_historical_gap_up_data() | ❌ No historical data found for GNUS
2025-07-30 21:46:34,368 | historical_data | ERROR | historical_data.py:716 | get_historical_gap_up_data() | ❌ No historical data found for RIDE
2025-07-30 21:46:35,618 | historical_data | ERROR | historical_data.py:716 | get_historical_gap_up_data() | ❌ No historical data found for VLDR
2025-07-30 21:46:35,979 | historical_data | ERROR | historical_data.py:716 | get_historical_gap_up_data() | ❌ No historical data found for CIDM
2025-07-30 21:46:36,970 | historical_data | ERROR | historical_data.py:716 | get_historical_gap_up_data() | ❌ No historical data found for SOLO
2025-07-30 21:46:37,519 | historical_data | ERROR | historical_data.py:716 | get_historical_gap_up_data() | ❌ No historical data found for BBBY
2025-07-30 21:46:38,324 | historical_data | ERROR | historical_data.py:716 | get_historical_gap_up_data() | ❌ No historical data found for NAKD
