2025-07-30 19:07:41,094 | performance | INFO | logging_config.py:153 | log_performance() | ⏱️ batch_daily_data | Duration: 0.488s | Details: {'ticker': 'SONN', 'start_date': '2024-07-30', 'end_date': '2025-01-30', 'data_points': 127}
2025-07-30 19:08:14,147 | performance | INFO | logging_config.py:153 | log_performance() | ⏱️ batch_daily_data | Duration: 0.324s | Details: {'ticker': 'AAPL', 'start_date': '2024-07-30', 'end_date': '2025-07-30', 'data_points': 251}
2025-07-30 19:08:14,158 | performance | INFO | logging_config.py:153 | log_performance() | ⏱️ historical_gap_up_data | Duration: 0.342s | Details: {'ticker': 'AAPL', 'days': 365, 'use_cache': True, 'total_days': 251, 'gap_up_days': 0}
2025-07-30 19:17:36,115 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ batch_daily_data | Duration: 0.388s | Details: {'ticker': 'FTFT', 'start_date': '2024-07-30', 'end_date': '2025-07-30', 'data_points': 251}
2025-07-30 19:17:36,941 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ historical_gap_up_data | Duration: 1.248s | Details: {'ticker': 'FTFT', 'days': 365, 'use_cache': True, 'total_days': 251, 'gap_up_days': 2}
2025-07-30 19:23:37,766 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ batch_daily_data | Duration: 0.335s | Details: {'ticker': 'FTFT', 'start_date': '2025-03-01', 'end_date': '2025-03-05', 'data_points': 3}
2025-07-30 19:23:44,371 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ batch_daily_data | Duration: 0.330s | Details: {'ticker': 'FTFT', 'start_date': '2025-03-01', 'end_date': '2025-03-05', 'data_points': 3}
2025-07-30 19:23:52,073 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ batch_daily_data | Duration: 0.375s | Details: {'ticker': 'FTFT', 'start_date': '2025-07-09', 'end_date': '2025-07-12', 'data_points': 3}
2025-07-30 19:25:27,751 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ batch_daily_data | Duration: 0.348s | Details: {'ticker': 'FTFT', 'start_date': '2024-07-30', 'end_date': '2025-07-30', 'data_points': 251}
2025-07-30 19:25:30,546 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ historical_gap_up_data | Duration: 3.160s | Details: {'ticker': 'FTFT', 'days': 365, 'use_cache': True, 'total_days': 251, 'gap_up_days': 2}
2025-07-30 19:25:52,807 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ batch_daily_data | Duration: 0.255s | Details: {'ticker': 'FTFT', 'start_date': '2025-03-01', 'end_date': '2025-03-05', 'data_points': 3}
2025-07-30 19:25:53,086 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ batch_daily_data | Duration: 0.272s | Details: {'ticker': 'FTFT', 'start_date': '2025-07-09', 'end_date': '2025-07-12', 'data_points': 3}
2025-07-30 19:26:44,054 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ batch_daily_data | Duration: 0.397s | Details: {'ticker': 'FTFT', 'start_date': '2024-07-30', 'end_date': '2025-07-30', 'data_points': 251}
2025-07-30 19:26:45,382 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ historical_gap_up_data | Duration: 1.735s | Details: {'ticker': 'FTFT', 'days': 365, 'use_cache': True, 'total_days': 251, 'gap_up_days': 2}
2025-07-30 19:29:02,140 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ batch_daily_data | Duration: 0.358s | Details: {'ticker': 'HOLO', 'start_date': '2024-07-30', 'end_date': '2025-07-30', 'data_points': 251}
2025-07-30 19:29:05,925 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ historical_gap_up_data | Duration: 4.163s | Details: {'ticker': 'HOLO', 'days': 365, 'use_cache': True, 'total_days': 251, 'gap_up_days': 9}
2025-07-30 19:31:27,437 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ batch_daily_data | Duration: 0.395s | Details: {'ticker': 'HOLO', 'start_date': '2024-07-30', 'end_date': '2025-07-30', 'data_points': 251}
2025-07-30 19:31:31,486 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ historical_gap_up_data | Duration: 4.453s | Details: {'ticker': 'HOLO', 'days': 365, 'use_cache': True, 'total_days': 251, 'gap_up_days': 9}
