2025-07-30 19:01:23,566 | performance | INFO | logging_config.py:153 | log_performance() | ⏱️ historical_data_real | Duration: 0.010s | Details: {'ticker': 'KAPA', 'days': 365, 'data_points': 2, 'cached': True}
2025-07-30 19:02:04,495 | performance | INFO | logging_config.py:153 | log_performance() | ⏱️ historical_data_real | Duration: 0.009s | Details: {'ticker': 'KAPA', 'days': 1095, 'data_points': 2, 'cached': True}
2025-07-30 19:02:05,809 | performance | INFO | logging_config.py:153 | log_performance() | ⏱️ historical_data_real | Duration: 0.005s | Details: {'ticker': 'KAPA', 'days': 1095, 'data_points': 2, 'cached': True}
2025-07-30 19:02:08,796 | performance | INFO | logging_config.py:153 | log_performance() | ⏱️ historical_data_real | Duration: 0.005s | Details: {'ticker': 'KAPA', 'days': 730, 'data_points': 2, 'cached': True}
2025-07-30 19:02:11,995 | performance | INFO | logging_config.py:153 | log_performance() | ⏱️ historical_data_real | Duration: 0.004s | Details: {'ticker': 'KAPA', 'days': 730, 'data_points': 2, 'cached': True}
2025-07-30 19:02:52,952 | performance | INFO | logging_config.py:153 | log_performance() | ⏱️ batch_daily_data | Duration: 0.233s | Details: {'ticker': 'SONN', 'start_date': '2025-01-31', 'end_date': '2025-07-30', 'data_points': 124}
2025-07-30 19:02:54,108 | performance | INFO | logging_config.py:153 | log_performance() | ⏱️ historical_gap_up_data | Duration: 1.390s | Details: {'ticker': 'SONN', 'days': 180, 'use_cache': True, 'total_days': 124, 'gap_up_days': 3}
2025-07-30 19:02:54,110 | performance | INFO | logging_config.py:153 | log_performance() | ⏱️ historical_data_real | Duration: 1.393s | Details: {'ticker': 'SONN', 'days': 180, 'data_points': 3, 'cached': True}
2025-07-30 19:09:17,410 | performance | INFO | logging_config.py:153 | log_performance() | ⏱️ batch_daily_data | Duration: 0.219s | Details: {'ticker': 'SQFT', 'start_date': '2025-01-31', 'end_date': '2025-07-30', 'data_points': 123}
2025-07-30 19:09:17,813 | performance | INFO | logging_config.py:153 | log_performance() | ⏱️ historical_gap_up_data | Duration: 0.624s | Details: {'ticker': 'SQFT', 'days': 180, 'use_cache': True, 'total_days': 123, 'gap_up_days': 1}
2025-07-30 19:09:17,814 | performance | INFO | logging_config.py:153 | log_performance() | ⏱️ historical_data_real | Duration: 0.626s | Details: {'ticker': 'SQFT', 'days': 180, 'data_points': 1, 'cached': True}
2025-07-30 19:09:48,503 | performance | INFO | logging_config.py:153 | log_performance() | ⏱️ batch_daily_data | Duration: 0.303s | Details: {'ticker': 'SQFT', 'start_date': '2022-07-31', 'end_date': '2025-01-30', 'data_points': 628}
