2025-07-30 18:36:07,028 | startup | INFO | logging_config.py:115 | setup_logging() | 🚀 Gap-Trade-Bot Logging System Initialized
2025-07-30 18:36:07,028 | startup | INFO | logging_config.py:116 | setup_logging() | 📁 Log directory: /Users/avinashchennamadhav/Documents/Projects/trade-advisor-website/gap-trade-bot/../logs
2025-07-30 18:36:07,028 | startup | INFO | logging_config.py:117 | setup_logging() | 🔧 Log level: INFO
2025-07-30 18:36:07,028 | startup | INFO | logging_config.py:118 | setup_logging() | 📊 Log files: all.log, errors.log, api.log, performance.log, cache.log
2025-07-30 18:36:07,332 | historical_cache | INFO | historical_cache.py:80 | init_cache_tables() | ✅ Historical data cache tables initialized
2025-07-30 18:36:07,483 | werkzeug | WARNING | _internal.py:97 | _log() |  * Debugger is active!
2025-07-30 18:36:07,649 | werkzeug | INFO | _internal.py:97 | _log() |  * Debugger PIN: 145-947-109
2025-07-30 18:36:07,885 | werkzeug | INFO | _internal.py:97 | _log() | 127.0.0.1 - - [30/Jul/2025 18:36:07] "GET /socket.io/?EIO=4&transport=polling&t=PXTiNN7 HTTP/1.1" 200 -
2025-07-30 18:36:07,900 | werkzeug | INFO | _internal.py:97 | _log() | 127.0.0.1 - - [30/Jul/2025 18:36:07] "POST /socket.io/?EIO=4&transport=polling&t=PXTiNNH&sid=R894crsX6zwe-wU4AAAA HTTP/1.1" 200 -
2025-07-30 18:36:07,901 | werkzeug | INFO | _internal.py:97 | _log() | 127.0.0.1 - - [30/Jul/2025 18:36:07] "GET /socket.io/?EIO=4&transport=polling&t=PXTiNNJ&sid=R894crsX6zwe-wU4AAAA HTTP/1.1" 200 -
2025-07-30 18:36:07,913 | werkzeug | INFO | _internal.py:97 | _log() | 127.0.0.1 - - [30/Jul/2025 18:36:07] "GET /socket.io/?EIO=4&transport=polling&t=PXTiNNa&sid=R894crsX6zwe-wU4AAAA HTTP/1.1" 200 -
2025-07-30 18:36:07,923 | werkzeug | INFO | _internal.py:97 | _log() | 127.0.0.1 - - [30/Jul/2025 18:36:07] "POST /socket.io/?EIO=4&transport=polling&t=PXTiNNd&sid=R894crsX6zwe-wU4AAAA HTTP/1.1" 200 -
2025-07-30 18:36:14,288 | werkzeug | INFO | _internal.py:97 | _log() |  * Detected change in '/Users/avinashchennamadhav/Documents/Projects/trade-advisor-website/gap-trade-bot/backend/app.py', reloading
2025-07-30 18:36:14,302 | werkzeug | INFO | _internal.py:97 | _log() |  * Detected change in '/Users/avinashchennamadhav/Documents/Projects/trade-advisor-website/gap-trade-bot/backend/app.py', reloading
2025-07-30 18:36:15,769 | startup | INFO | logging_config.py:115 | setup_logging() | 🚀 Gap-Trade-Bot Logging System Initialized
2025-07-30 18:36:15,769 | startup | INFO | logging_config.py:116 | setup_logging() | 📁 Log directory: /Users/avinashchennamadhav/Documents/Projects/trade-advisor-website/gap-trade-bot/../logs
2025-07-30 18:36:15,770 | startup | INFO | logging_config.py:117 | setup_logging() | 🔧 Log level: INFO
2025-07-30 18:36:15,770 | startup | INFO | logging_config.py:118 | setup_logging() | 📊 Log files: all.log, errors.log, api.log, performance.log, cache.log
2025-07-30 18:36:15,954 | historical_cache | INFO | historical_cache.py:80 | init_cache_tables() | ✅ Historical data cache tables initialized
2025-07-30 18:36:16,038 | werkzeug | WARNING | _internal.py:97 | _log() |  * Debugger is active!
2025-07-30 18:36:16,049 | werkzeug | INFO | _internal.py:97 | _log() |  * Debugger PIN: 145-947-109
2025-07-30 18:36:16,883 | werkzeug | INFO | _internal.py:97 | _log() | 127.0.0.1 - - [30/Jul/2025 18:36:16] "GET /socket.io/?EIO=4&transport=polling&t=PXTiPZm HTTP/1.1" 200 -
2025-07-30 18:36:16,893 | werkzeug | INFO | _internal.py:97 | _log() | 127.0.0.1 - - [30/Jul/2025 18:36:16] "POST /socket.io/?EIO=4&transport=polling&t=PXTiPZr&sid=7ejq4lyyAjpiM59HAAAA HTTP/1.1" 200 -
2025-07-30 18:36:16,894 | werkzeug | INFO | _internal.py:97 | _log() | 127.0.0.1 - - [30/Jul/2025 18:36:16] "GET /socket.io/?EIO=4&transport=polling&t=PXTiPZs&sid=7ejq4lyyAjpiM59HAAAA HTTP/1.1" 200 -
2025-07-30 18:36:25,878 | werkzeug | INFO | _internal.py:97 | _log() |  * Detected change in '/Users/avinashchennamadhav/Documents/Projects/trade-advisor-website/gap-trade-bot/backend/app.py', reloading
2025-07-30 18:36:25,886 | werkzeug | INFO | _internal.py:97 | _log() |  * Detected change in '/Users/avinashchennamadhav/Documents/Projects/trade-advisor-website/gap-trade-bot/backend/app.py', reloading
2025-07-30 18:36:27,381 | startup | INFO | logging_config.py:115 | setup_logging() | 🚀 Gap-Trade-Bot Logging System Initialized
2025-07-30 18:36:27,381 | startup | INFO | logging_config.py:116 | setup_logging() | 📁 Log directory: /Users/avinashchennamadhav/Documents/Projects/trade-advisor-website/gap-trade-bot/../logs
2025-07-30 18:36:27,381 | startup | INFO | logging_config.py:117 | setup_logging() | 🔧 Log level: INFO
2025-07-30 18:36:27,381 | startup | INFO | logging_config.py:118 | setup_logging() | 📊 Log files: all.log, errors.log, api.log, performance.log, cache.log
2025-07-30 18:36:27,646 | historical_cache | INFO | historical_cache.py:80 | init_cache_tables() | ✅ Historical data cache tables initialized
2025-07-30 18:36:27,765 | werkzeug | WARNING | _internal.py:97 | _log() |  * Debugger is active!
2025-07-30 18:36:27,790 | werkzeug | INFO | _internal.py:97 | _log() |  * Debugger PIN: 145-947-109
2025-07-30 18:36:27,883 | werkzeug | INFO | _internal.py:97 | _log() | 127.0.0.1 - - [30/Jul/2025 18:36:27] "GET /socket.io/?EIO=4&transport=polling&t=PXTiSFd HTTP/1.1" 200 -
2025-07-30 18:36:27,891 | werkzeug | INFO | _internal.py:97 | _log() | 127.0.0.1 - - [30/Jul/2025 18:36:27] "POST /socket.io/?EIO=4&transport=polling&t=PXTiSFj&sid=70cul1GtJtVGLOntAAAA HTTP/1.1" 200 -
2025-07-30 18:36:27,895 | werkzeug | INFO | _internal.py:97 | _log() | 127.0.0.1 - - [30/Jul/2025 18:36:27] "GET /socket.io/?EIO=4&transport=polling&t=PXTiSFk&sid=70cul1GtJtVGLOntAAAA HTTP/1.1" 200 -
2025-07-30 18:36:35,821 | werkzeug | INFO | _internal.py:97 | _log() |  * Detected change in '/Users/avinashchennamadhav/Documents/Projects/trade-advisor-website/gap-trade-bot/backend/app.py', reloading
2025-07-30 18:36:35,830 | werkzeug | INFO | _internal.py:97 | _log() |  * Detected change in '/Users/avinashchennamadhav/Documents/Projects/trade-advisor-website/gap-trade-bot/backend/app.py', reloading
2025-07-30 18:36:36,938 | startup | INFO | logging_config.py:115 | setup_logging() | 🚀 Gap-Trade-Bot Logging System Initialized
2025-07-30 18:36:36,940 | startup | INFO | logging_config.py:116 | setup_logging() | 📁 Log directory: /Users/avinashchennamadhav/Documents/Projects/trade-advisor-website/gap-trade-bot/../logs
2025-07-30 18:36:37,001 | startup | INFO | logging_config.py:117 | setup_logging() | 🔧 Log level: INFO
2025-07-30 18:36:37,001 | startup | INFO | logging_config.py:118 | setup_logging() | 📊 Log files: all.log, errors.log, api.log, performance.log, cache.log
2025-07-30 18:36:37,267 | historical_cache | INFO | historical_cache.py:80 | init_cache_tables() | ✅ Historical data cache tables initialized
2025-07-30 18:36:37,435 | werkzeug | WARNING | _internal.py:97 | _log() |  * Debugger is active!
2025-07-30 18:36:37,488 | werkzeug | INFO | _internal.py:97 | _log() |  * Debugger PIN: 145-947-109
2025-07-30 18:36:37,888 | werkzeug | INFO | _internal.py:97 | _log() | 127.0.0.1 - - [30/Jul/2025 18:36:37] "GET /socket.io/?EIO=4&transport=polling&t=PXTiUhu HTTP/1.1" 200 -
2025-07-30 18:36:37,900 | werkzeug | INFO | _internal.py:97 | _log() | 127.0.0.1 - - [30/Jul/2025 18:36:37] "POST /socket.io/?EIO=4&transport=polling&t=PXTiUi2&sid=MgxXdIhWcAFG5I0xAAAA HTTP/1.1" 200 -
2025-07-30 18:36:37,922 | werkzeug | INFO | _internal.py:97 | _log() | 127.0.0.1 - - [30/Jul/2025 18:36:37] "GET /socket.io/?EIO=4&transport=polling&t=PXTiUi2.0&sid=MgxXdIhWcAFG5I0xAAAA HTTP/1.1" 200 -
